MatchNumber,AverageError,ManualLength,AutoLength,CellOverlap
459,10,35,195,5
460,11,35,167,3
461,15,35,167,3
462,6,48,74,13
463,32,48,271,27
464,26,48,271,27
465,107,119,45,45
466,30,53,283,53
467,12,17,283,17
468,9,33,12,2
469,4,32,183,3
470,74,106,138,78
471,75,106,138,78
472,5,32,191,3
473,17,26,130,26
474,18,26,130,26
475,13,61,105,46
476,11,30,236,10
477,11,42,103,23
478,10,53,342,27
479,9,61,19,19
480,10,67,315,19
481,2,43,150,3
482,15,36,164,8
483,14,41,164,14
484,8,61,155,39
485,14,39,179,17
486,9,28,179,9
487,7,53,44,21
488,20,53,291,15
489,19,42,291,20
490,6,35,50,7
491,22,53,285,9
492,39,79,285,79
493,10,54,79,14
494,25,53,249,22
495,11,25,249,1
496,8,42,22,4
497,13,50,315,7
498,10,41,315,10
499,5,42,55,5
500,13,36,283,11
501,5,27,283,4
502,5,47,54,6
503,7,36,281,9
504,11,36,281,9
505,6,60,61,2
506,6,26,273,1
507,8,30,273,1
508,5,47,36,6
509,15,50,298,1
510,13,50,298,1
511,4,60,30,8
512,18,81,53,18
513,9,42,256,14
514,6,42,256,14
515,15,67,72,35
516,16,56,73,37
517,44,79,276,79
518,45,79,276,79
519,21,91,71,61
520,32,118,116,32
521,28,36,227,36
522,21,30,227,1
523,5,41,336,15
524,4,41,336,15
525,6,40,124,2
526,43,63,214,63
527,32,53,214,7
528,35,109,128,36
529,28,36,220,36
530,22,34,220,34
531,4,60,179,10
532,24,60,163,27
533,28,60,163,27
534,8,81,20,20
535,10,41,308,16
536,15,65,308,13
537,8,44,96,4
538,30,53,229,22
539,26,46,229,46
540,21,81,30,30
541,9,49,318,15
542,4,49,318,15
543,7,47,76,11
544,13,48,254,10
545,13,48,254,10
546,77,67,369,67
547,6,65,57,1
548,16,67,223,3
549,65,65,311,65
550,12,44,24,8
551,125,113,344,113
552,14,16,344,16
553,22,85,236,14
554,128,113,104,104
555,18,54,64,10
556,85,74,74,27
557,135,113,294,113
558,12,29,246,12
559,12,56,261,3
560,19,91,261,7
561,15,95,179,3
562,124,113,189,113
563,24,23,189,23
564,25,142,193,16
565,18,86,217,2
566,9,65,63,2
567,18,65,63,2
568,38,40,95,10
569,10,65,185,2
570,63,53,273,53
571,14,99,214,11
572,31,60,44,9
573,16,67,238,5
574,19,85,193,16
575,19,70,42,6
576,78,79,130,79
577,13,42,55,4
578,28,145,155,11
579,28,145,159,15
580,21,67,43,37
581,29,142,147,14
582,21,159,127,16
583,28,142,198,21
584,16,15,170,5
585,10,15,170,5
586,21,67,46,40
587,36,53,322,46
588,12,106,183,1
589,16,63,60,9
590,102,95,138,95
591,21,67,41,35
592,42,53,327,51
593,36,53,327,51
594,14,59,265,4
595,95,95,95,71
596,92,95,95,71
597,26,106,233,12
598,5,23,79,10
599,24,102,141,6
600,48,46,137,46
601,18,20,137,13
602,37,53,279,3
603,6,29,152,13
604,30,37,206,37
605,34,145,58,21
606,31,142,185,18
607,22,27,173,13
608,21,106,55,22
609,24,74,51,14
610,31,138,99,19
611,31,109,79,29
612,19,67,278,12
613,21,58,14,14
614,74,95,78,54
615,16,59,285,11
616,72,95,71,47
617,66,95,71,47
618,36,90,184,2
619,101,91,174,91
620,113,91,174,91
621,28,99,251,15
622,35,102,128,13
623,31,38,230,38
624,12,17,230,6
625,22,65,57,11
626,14,23,301,2
627,36,159,123,36
628,29,159,170,25
629,23,31,188,22
630,21,31,188,22
631,22,74,65,28
632,34,109,75,39
633,29,96,65,34
634,6,23,110,10
635,13,30,248,22
636,12,30,248,22
637,12,76,261,2
638,18,99,197,8
639,32,109,127,35
640,29,37,221,37
641,19,29,221,11
642,36,115,142,15
643,28,87,141,21
644,28,38,209,20
645,26,99,51,8
646,21,83,168,28
647,24,99,22,8
648,33,145,32,21
649,21,67,270,17
650,19,45,25,21
651,56,95,45,45
652,88,159,132,5
653,53,58,208,58
654,32,38,208,19
655,14,68,214,12
656,25,41,90,27
657,21,67,47,10
658,40,159,147,17
659,12,23,194,9
660,26,77,106,13
661,43,159,146,15
662,23,102,58,6
663,33,145,58,31
664,44,109,106,18
665,39,53,238,34
666,34,53,238,34
667,36,159,163,30
668,47,138,136,24
669,22,67,34,34
670,15,56,311,40
671,16,60,311,37
672,42,138,148,31
673,34,142,37,34
674,25,97,33,33
675,18,61,115,46
676,34,145,98,41
677,31,145,88,31
678,21,67,58,45
679,7,24,84,8
680,15,53,74,6
681,9,32,67,11
682,10,28,271,11
683,9,28,271,11
684,8,32,77,11
685,25,65,261,50
686,26,65,261,50
687,10,32,53,11
688,21,102,159,18
689,14,42,285,9
690,17,32,36,11
691,6,19,254,8
692,3,21,264,1
693,61,67,14,14
694,25,99,182,24
695,18,67,63,13
696,75,91,141,91
697,55,145,177,22
698,66,91,146,91
699,69,91,146,91
700,71,83,317,83
701,1000000,172,21,0
702,1000000,172,21,0
703,4,36,148,7
704,18,33,180,19
705,19,39,180,18
706,13,67,276,33
707,7,40,79,18
708,19,65,249,38
709,17,65,249,38
710,8,39,15,9
711,6,39,71,4
712,3,24,115,4
713,4,35,329,1
714,7,32,48,1
715,20,60,280,6
716,8,42,280,4
717,20,32,20,1
718,20,102,178,14
719,12,85,11,11
720,26,70,61,26
721,25,82,144,17
722,60,91,163,91
723,57,91,163,91
724,19,76,237,8
725,11,44,135,10
726,22,56,183,22
727,21,56,183,22
728,63,159,137,24
